Usia Kepala Rumah Tangga,Pendidikan Terakhir,Status Petani,Jumlah Tanggungan Keluarga (termasuk Kepala Keluarga),Luas lahan yang dikelola,Status Kepemilikan Lahan,Komoditas Utama yang ditanam,Pola Tanam,Sistem Irigasi,Frekuensi Panen per Tahun,Produksi Rata - Rata per Panen (Kwintal/Ha),Harga Jual Rata-Rata Hasil Panen Utama (Rp/kg),Pernah Gagal Panen dalam 5 Tahun Terakhir?,Pengeluaran Rata-Rata Benih per Tahun (Rp),Pengeluaran Rata-Rata Pupuk per Tahun (Rp),Pengeluaran Rata-Rata Biaya Perawatan per Tahun (Rp),Stok Pupuk Saat Ini,Menerima Subsidi Benih/Pupuk Pemerintah?,Pernah Mengikuti Pelatihan dari Dinas/Kementerian?,Sumber Utama Pangan Pokok,Pernah Kehabisan Pangan Pokok dalam 3 Bulan Terakhir?,Status Kemandirian Pangan Rumah Tangga,Cadangan Pangan Keluarga dari Hasil Panen?,Strategi Saat Kekurangan Pangan atau Gagal Panen,Keikutsertaan dalam Koperasi atau Organisasi Tani,Pernah Menerima Bantuan Pangan Pemerintah?,Sumber Pinjaman Utama Saat Darurat,"Akses ke Informasi Pertanian (cuaca, harga, dll)",Sumber Informasi Pertanian Utama,Apakah mempunyai pekerjaan sampingan?,Pernah Terdampak Kekeringan Ekstrem dalam 5 Tahun Terakhir?,Kondisi Tanah Dominan (berdasarkan persepsi petani),Apakah pola tanam berubah akibat iklim?
33,Sarjana,Petani Pemilik,6,4.79,Bagi Hasil,Kedelai,Rotasi,Irigasi Teknis,4,4.12,6464,Ya,1103202,1810505,2474911,Ada,Ya,Ya,Bantuan,Tidak,Mandiri,Ya,Kurangi Konsumsi,Tidak,Ya,Bank,Sulit,Penyuluh,Tidak,Ya,Kurang Subur,Tidak
26,SMP,Petani Penggarap,7,3.84,Sewa,Kedelai,Monokultur,Irigasi Teknis,2,5.4,6283,Ya,797532,628585,1384859,Ada,Tidak,Tidak,Beli Pasar,Tidak,Mandiri,Tidak,Kurangi Konsumsi,Tidak,Ya,Koperasi,Mudah,Penyuluh,Ya,Ya,Sedang,Tidak
52,Diploma,Buruh Tani,5,2.13,Milik Sendiri,Bawang,Monokultur,Sumur,4,2.67,7858,Tidak,1605060,1793604,1190494,Ada,Tidak,Ya,Panen Sendiri,Ya,Rentan,Ya,Pinjam Uang,Tidak,Tidak,Bank,Mudah,Penyuluh,Tidak,Tidak,Subur,Ya
49,Sarjana,Buruh Tani,3,2.55,Bagi Hasil,Kedelai,Monokultur,Sumur,1,4.62,6766,Ya,1156535,2914908,2800548,Habis,Tidak,Tidak,Panen Sendiri,Tidak,Mandiri,Tidak,Pinjam Uang,Tidak,Tidak,Koperasi,Sedang,Penyuluh,Ya,Tidak,Kurang Subur,Tidak
58,SD,Petani Penggarap,4,3.75,Milik Sendiri,Kedelai,Monokultur,Irigasi Teknis,1,5.18,4588,Tidak,1236309,1119456,1990983,Ada,Ya,Tidak,Panen Sendiri,Ya,Tidak Mandiri,Ya,Jual Aset,Ya,Ya,Tetangga,Sedang,Internet,Tidak,Tidak,Kurang Subur,Tidak
34,Diploma,Petani Pemilik,5,2.27,Sewa,Kedelai,Rotasi,Irigasi Teknis,3,5.04,5542,Tidak,1447732,657736,1238614,Habis,Tidak,Ya,Bantuan,Ya,Tidak Mandiri,Tidak,Kurangi Konsumsi,Ya,Tidak,Tetangga,Sulit,Penyuluh,Tidak,Tidak,Kurang Subur,Ya
28,Diploma,Petani Pemilik,4,4.91,Milik Sendiri,Bawang,Rotasi,Irigasi Teknis,1,3.49,6586,Tidak,1599051,2692564,3557709,Ada,Tidak,Tidak,Beli Pasar,Tidak,Rentan,Tidak,Jual Aset,Ya,Tidak,Koperasi,Sedang,Penyuluh,Tidak,Tidak,Sedang,Ya
46,SD,Buruh Tani,7,0.79,Sewa,Kedelai,Rotasi,Tadah Hujan,4,2.77,3694,Tidak,1672144,2079907,3699006,Habis,Ya,Ya,Bantuan,Tidak,Tidak Mandiri,Tidak,Pinjam Uang,Tidak,Tidak,Koperasi,Mudah,Internet,Tidak,Ya,Subur,Ya
34,SD,Petani Penggarap,2,2.59,Bagi Hasil,Bawang,Monokultur,Tadah Hujan,3,7.26,4073,Tidak,823491,1180514,1758522,Ada,Tidak,Ya,Beli Pasar,Tidak,Tidak Mandiri,Ya,Kurangi Konsumsi,Tidak,Tidak,Koperasi,Sulit,Penyuluh,Tidak,Tidak,Subur,Tidak
61,Diploma,Petani Penggarap,4,3.91,Bagi Hasil,Bawang,Tumpangsari,Irigasi Teknis,2,6.81,4133,Tidak,609428,2515743,4666312,Habis,Ya,Ya,Beli Pasar,Ya,Mandiri,Tidak,Kurangi Konsumsi,Ya,Tidak,Koperasi,Mudah,Internet,Tidak,Ya,Sedang,Ya
50,Sarjana,Petani Penggarap,3,1.99,Milik Sendiri,Kedelai,Monokultur,Irigasi Teknis,3,7.58,5746,Ya,788567,660655,2203259,Habis,Ya,Tidak,Beli Pasar,Ya,Mandiri,Ya,Kurangi Konsumsi,Ya,Ya,Tetangga,Sulit,Tetangga,Tidak,Ya,Sedang,Ya
44,SD,Petani Pemilik,3,2.16,Bagi Hasil,Cabai,Monokultur,Irigasi Teknis,4,5.58,3134,Ya,801102,1721683,2800358,Ada,Tidak,Ya,Bantuan,Tidak,Mandiri,Ya,Jual Aset,Tidak,Ya,Tetangga,Sulit,Tetangga,Ya,Tidak,Sedang,Ya
65,Diploma,Petani Penggarap,4,3.76,Sewa,Padi,Tumpangsari,Irigasi Teknis,1,6.63,5723,Ya,592978,1977649,3290147,Habis,Ya,Tidak,Bantuan,Tidak,Tidak Mandiri,Ya,Pinjam Uang,Ya,Tidak,Koperasi,Sedang,Penyuluh,Ya,Ya,Subur,Tidak
44,Sarjana,Petani Penggarap,6,2.42,Milik Sendiri,Jagung,Tumpangsari,Sumur,1,7.19,5719,Tidak,761043,2043584,2832706,Habis,Tidak,Tidak,Beli Pasar,Ya,Rentan,Tidak,Kurangi Konsumsi,Tidak,Ya,Tetangga,Sedang,Penyuluh,Tidak,Ya,Kurang Subur,Tidak
45,SD,Petani Pemilik,4,3.34,Sewa,Cabai,Rotasi,Tadah Hujan,4,3.0,6636,Tidak,1437698,677650,4048480,Habis,Tidak,Tidak,Bantuan,Ya,Mandiri,Tidak,Kurangi Konsumsi,Ya,Ya,Koperasi,Sulit,Tetangga,Tidak,Ya,Subur,Ya
40,SMA,Petani Penggarap,5,4.75,Milik Sendiri,Bawang,Monokultur,Tadah Hujan,4,7.69,6047,Tidak,661240,2907202,1577535,Habis,Tidak,Tidak,Bantuan,Tidak,Mandiri,Ya,Pinjam Uang,Ya,Tidak,Tetangga,Sedang,Tetangga,Ya,Tidak,Sedang,Tidak
38,Sarjana,Petani Penggarap,7,4.59,Sewa,Jagung,Monokultur,Irigasi Teknis,1,4.71,6646,Ya,1930109,1840448,3801123,Habis,Ya,Tidak,Beli Pasar,Ya,Tidak Mandiri,Ya,Kurangi Konsumsi,Ya,Ya,Koperasi,Mudah,Penyuluh,Tidak,Ya,Sedang,Tidak
54,Sarjana,Petani Pemilik,6,4.43,Milik Sendiri,Kedelai,Tumpangsari,Tadah Hujan,4,5.15,6354,Ya,762829,1829710,3694163,Ada,Tidak,Tidak,Bantuan,Tidak,Mandiri,Ya,Pinjam Uang,Tidak,Ya,Koperasi,Sulit,Penyuluh,Tidak,Ya,Subur,Tidak
39,SMA,Buruh Tani,4,4.25,Sewa,Jagung,Rotasi,Tadah Hujan,3,2.75,5480,Ya,1553972,1207310,3482224,Ada,Ya,Tidak,Bantuan,Ya,Mandiri,Ya,Pinjam Uang,Tidak,Ya,Tetangga,Sedang,Tetangga,Ya,Tidak,Kurang Subur,Tidak
44,Diploma,Petani Pemilik,7,2.09,Sewa,Padi,Rotasi,Irigasi Teknis,2,4.64,6966,Tidak,927867,1926871,3544517,Ada,Tidak,Tidak,Bantuan,Tidak,Rentan,Ya,Kurangi Konsumsi,Ya,Tidak,Koperasi,Sedang,Penyuluh,Tidak,Tidak,Subur,Ya
31,SD,Petani Penggarap,5,4.33,Sewa,Jagung,Monokultur,Sumur,3,3.14,4305,Tidak,1579456,2457964,3091949,Habis,Tidak,Ya,Panen Sendiri,Tidak,Tidak Mandiri,Tidak,Pinjam Uang,Ya,Tidak,Koperasi,Mudah,Internet,Tidak,Tidak,Sedang,Ya
31,Diploma,Petani Pemilik,4,3.66,Sewa,Kedelai,Monokultur,Sumur,1,5.42,4594,Tidak,1660192,1710483,1308414,Habis,Tidak,Tidak,Bantuan,Ya,Mandiri,Ya,Kurangi Konsumsi,Tidak,Tidak,Tetangga,Sedang,Penyuluh,Ya,Tidak,Kurang Subur,Ya
27,SD,Petani Pemilik,7,1.73,Sewa,Bawang,Tumpangsari,Irigasi Teknis,2,3.97,5609,Ya,1324085,1755079,3490261,Habis,Tidak,Tidak,Beli Pasar,Ya,Rentan,Tidak,Jual Aset,Ya,Tidak,Tetangga,Sedang,Tetangga,Ya,Tidak,Sedang,Ya
28,Sarjana,Petani Penggarap,3,2.67,Bagi Hasil,Bawang,Tumpangsari,Irigasi Teknis,2,2.19,3900,Ya,539714,2349849,2315721,Habis,Ya,Tidak,Bantuan,Ya,Rentan,Tidak,Jual Aset,Ya,Ya,Tetangga,Mudah,Tetangga,Tidak,Tidak,Kurang Subur,Tidak
45,SMP,Petani Penggarap,6,1.78,Sewa,Kedelai,Rotasi,Sumur,2,7.74,5285,Tidak,971580,1748285,4234539,Habis,Ya,Tidak,Beli Pasar,Tidak,Rentan,Tidak,Kurangi Konsumsi,Ya,Tidak,Bank,Sedang,Penyuluh,Tidak,Ya,Sedang,Ya
47,Diploma,Buruh Tani,4,3.76,Milik Sendiri,Jagung,Rotasi,Sumur,3,2.82,7807,Ya,1008471,712925,3809487,Ada,Ya,Ya,Panen Sendiri,Tidak,Rentan,Tidak,Pinjam Uang,Ya,Ya,Tetangga,Mudah,Internet,Tidak,Tidak,Kurang Subur,Ya
43,SMA,Petani Penggarap,7,0.39,Milik Sendiri,Bawang,Monokultur,Tadah Hujan,1,7.48,4434,Tidak,868655,652420,4507290,Habis,Tidak,Ya,Bantuan,Tidak,Mandiri,Ya,Kurangi Konsumsi,Ya,Tidak,Bank,Sedang,Tetangga,Tidak,Ya,Kurang Subur,Tidak
42,SMP,Petani Pemilik,4,0.9,Sewa,Kedelai,Rotasi,Irigasi Teknis,1,6.42,5416,Ya,868039,2200749,4468646,Habis,Tidak,Ya,Beli Pasar,Ya,Mandiri,Ya,Kurangi Konsumsi,Tidak,Ya,Koperasi,Sedang,Internet,Ya,Tidak,Sedang,Tidak
44,Sarjana,Buruh Tani,6,0.16,Bagi Hasil,Kedelai,Rotasi,Irigasi Teknis,1,6.01,6812,Tidak,834950,2200440,3877601,Habis,Ya,Tidak,Beli Pasar,Ya,Mandiri,Ya,Kurangi Konsumsi,Ya,Tidak,Tetangga,Sulit,Internet,Tidak,Tidak,Kurang Subur,Ya
40,Sarjana,Petani Pemilik,6,2.29,Bagi Hasil,Kedelai,Monokultur,Tadah Hujan,1,2.37,7486,Ya,1701042,2750915,1628526,Ada,Tidak,Tidak,Panen Sendiri,Ya,Tidak Mandiri,Tidak,Pinjam Uang,Tidak,Ya,Bank,Mudah,Tetangga,Tidak,Tidak,Kurang Subur,Ya
60,Diploma,Buruh Tani,4,3.64,Sewa,Kedelai,Monokultur,Tadah Hujan,2,5.47,3371,Tidak,1222529,767428,3269804,Ada,Ya,Tidak,Panen Sendiri,Tidak,Rentan,Ya,Pinjam Uang,Tidak,Tidak,Bank,Sedang,Internet,Tidak,Ya,Kurang Subur,Ya
47,SD,Petani Pemilik,6,2.03,Milik Sendiri,Jagung,Monokultur,Irigasi Teknis,3,4.78,7460,Tidak,1615545,2090800,4453423,Ada,Ya,Tidak,Beli Pasar,Ya,Rentan,Ya,Jual Aset,Ya,Ya,Tetangga,Sedang,Tetangga,Ya,Ya,Subur,Ya
31,Sarjana,Petani Pemilik,5,3.03,Bagi Hasil,Padi,Monokultur,Tadah Hujan,1,4.41,4919,Ya,618371,1087771,3113492,Habis,Ya,Tidak,Bantuan,Tidak,Mandiri,Tidak,Pinjam Uang,Ya,Tidak,Bank,Sedang,Penyuluh,Ya,Tidak,Kurang Subur,Tidak
28,SMA,Buruh Tani,7,1.97,Bagi Hasil,Kedelai,Rotasi,Sumur,4,2.9,6083,Ya,1628117,2486081,2010693,Ada,Tidak,Ya,Beli Pasar,Ya,Tidak Mandiri,Tidak,Kurangi Konsumsi,Ya,Tidak,Koperasi,Sedang,Penyuluh,Tidak,Ya,Sedang,Tidak
